"B [mm]","L [mm]","R1 [mm]","R2 [mm]","Freq [GHz]","dB(S(1,1)) []"
16,15.5,5.9,6.2,6.42,-1.70429871244066
16,15.5,5.9,6.2,6.44,-1.66158676338053
16,15.5,5.9,6.2,6.46,-1.62413073070853
16,15.5,5.9,6.2,6.48,-1.59152298004932
16,15.5,5.9,6.2,6.5,-1.56341662217654
16,15.5,5.9,6.5,5.5,-2.06127576160717
16,15.5,5.9,6.5,5.52,-2.24786987136574
16,15.5,5.9,6.5,5.54,-2.46410754880878
16,15.5,5.9,6.5,5.56,-2.71585745907568
16,15.5,5.9,6.5,5.58,-3.0104078125911
16,15.5,5.9,6.5,5.6,-3.35686187719863
16,15.5,5.9,6.5,5.62,-3.7666576529716
16,15.5,5.9,6.5,5.64,-4.25425738000337
16,15.5,5.9,6.5,5.66,-4.83807541631261
16,15.5,5.9,6.5,5.68,-5.5417518552131
16,15.5,5.9,6.5,5.7,-6.39594263236269
16,15.5,5.9,6.5,5.72,-7.4408769403026
16,15.5,5.9,6.5,5.74,-8.72989768506038
16,15.5,5.9,6.5,5.76,-10.333212301077
16,15.5,5.9,6.5,5.78,-12.3343389244796
16,15.5,5.9,6.5,5.8,-14.7719229144011
16,15.5,5.9,6.5,5.82,-17.2878219569845
16,15.5,5.9,6.5,5.84,-18.2474568391159
16,15.5,5.9,6.5,5.86,-16.6029384417019
16,15.5,5.9,6.5,5.88,-14.1745517876038
16,15.5,5.9,6.5,5.9,-12.0409275965091
16,15.5,5.9,6.5,5.92,-10.3235481217983
16,15.5,5.9,6.5,5.94,-8.9488817584935
16,15.5,5.9,6.5,5.96,-7.83680484715592
16,15.5,5.9,6.5,5.98,-6.92562702201288
16,15.5,5.9,6.5,6,-6.17021693236767
16,15.5,5.9,6.5,6.02,-5.53747757626367
16,15.5,5.9,6.5,6.04,-5.00276536845151
16,15.5,5.9,6.5,6.06,-4.54740754522006
16,15.5,5.9,6.5,6.08,-4.15701797068422
16,15.5,5.9,6.5,6.1,-3.82034613637524
16,15.5,5.9,6.5,6.12,-3.52847762399578
16,15.5,5.9,6.5,6.14,-3.27426816963218
16,15.5,5.9,6.5,6.16,-3.05193542560129
16,15.5,5.9,6.5,6.18,-2.85675911746346
16,15.5,5.9,6.5,6.2,-2.68485711191909
16,15.5,5.9,6.5,6.22,-2.53301563429358
16,15.5,5.9,6.5,6.24,-2.39855879899532
16,15.5,5.9,6.5,6.26,-2.27924715481237
16,15.5,5.9,6.5,6.28,-2.17319796942049
16,15.5,5.9,6.5,6.3,-2.07882202439908
16,15.5,5.9,6.5,6.32,-1.99477310223173
16,15.5,5.9,6.5,6.34,-1.91990733501725
16,15.5,5.9,6.5,6.36,-1.85325028877236
16,15.5,5.9,6.5,6.38,-1.79397016690867
16,15.5,5.9,6.5,6.4,-1.74135589085525
16,15.5,5.9,6.5,6.42,-1.69479909449471
16,15.5,5.9,6.5,6.44,-1.6537792790574
16,15.5,5.9,6.5,6.46,-1.61785153502649
16,15.5,5.9,6.5,6.48,-1.58663636055313
16,15.5,5.9,6.5,6.5,-1.55981120121052
